track,row,t,n_branches,alt_tok,alt_class,base_tok,alt_p,base_p,effect,null_mean,null_q95,p_value,local_change,pooled_maxcat,is_letter,sig,flat
llama,0,0,4,Step,word,Let,0.0775453097241911,0.6492789483557507,0.03500000000000002,0.044840000000000026,0.09000000000000004,0.61,0.023540000000000002,0.75646,False,False,True
llama,0,0,4,To,word,Let,0.060392347936714656,0.6492789483557507,0.04000000000000002,0.046980000000000015,0.09500000000000003,0.542,0.023540000000000002,0.75646,False,False,True
llama,0,3,3, this,word, it,0.413329307422996,0.530725336193068,0.05499999999999998,0.04439999999999998,0.08999999999999997,0.26,0.012375999999999995,0.801428,False,False,True
llama,0,3,3, down,word, it,0.05593804222425116,0.530725336193068,0.03999999999999995,0.04025999999999996,0.07999999999999997,0.472,0.012375999999999995,0.801428,False,False,True
llama,0,8,3,"!

",punct/symbol,":

",0.4551349048255071,0.4551349048255071,0.055000000000000014,0.04439000000000001,0.0852499999999998,0.322,0.02638000000000004,0.772759,False,False,True
llama,0,8,3,".

",punct/symbol,":

",0.08962138189494251,0.4551349048255071,0.05000000000000002,0.04684000000000003,0.09000000000000004,0.424,0.02638000000000004,0.772759,False,False,True
llama,0,11,2, The,word, We,0.13061599292960527,0.8517233529579369,0.00999999999999999,0.04186999999999996,0.08499999999999998,1.0,0.04099199999999999,0.809335,False,False,True
llama,0,12,3, know,word, are,0.34907389777231124,0.3955525472667019,0.07000000000000003,0.039340000000000014,0.07999999999999999,0.086,0.047763999999999945,0.786993,False,False,True
llama,0,12,3, have,word, are,0.21172402150430028,0.3955525472667019,0.010000000000000004,0.04171999999999997,0.08999999999999998,1.0,0.047763999999999945,0.786993,False,False,True
llama,0,15,2, variance,word, sample,0.3165780872677723,0.6701957760583004,0.08000000000000003,0.04400000000000002,0.09000000000000002,0.104,0.0557585,0.752457,False,False,False
llama,0,16,2, size,word, mean,0.10249876692274383,0.8582117576220413,0.03500000000000002,0.043609999999999996,0.08999999999999997,0.584,0.006066500000000006,0.806266,False,False,True
llama,0,18,2,x,word,average,0.31482447343388137,0.6664833956268501,0.029999999999999995,0.04089,0.08499999999999998,0.676,0.053395999999999964,0.79,False,False,False
llama,0,20,2, of,word, building,0.1798500050013956,0.8060317656825725,0.08499999999999996,0.04158000000000001,0.08999999999999998,0.064,0.03722949999999999,0.765946,False,False,True
llama,0,22,3,",",punct/symbol,:,0.32074891972817293,0.3634561422128348,0.07500000000000002,0.04314000000000001,0.08500000000000003,0.144,0.043359499999999974,0.745337,False,False,True
llama,0,22,3, of,word,:,0.15151106150740148,0.3634561422128348,0.06000000000000002,0.04542000000000002,0.09500000000000003,0.266,0.043359499999999974,0.745337,False,False,True
llama,0,23,3, x,word, ,0.0884269409220054,0.8389715437968157,0.04500000000000001,0.04479,0.09499999999999997,0.472,0.014164000000000022,0.775836,False,False,True
llama,0,23,3, μ,word, ,0.06886697083466665,0.8389715437968157,0.03500000000000001,0.04536000000000001,0.09000000000000002,0.63,0.014164000000000022,0.775836,False,False,True
llama,0,26,2,".
",punct/symbol,"
",0.2226758569531939,0.7772151322761763,0.019999999999999997,0.048100000000000025,0.09500000000000003,0.94,0.04999999999999999,0.738886,False,False,True
llama,0,30,2, want,word, are,0.08488073290594969,0.9125538107251306,0.025,0.041470000000000014,0.08524999999999978,0.766,0.037547499999999984,0.784149,False,False,True
llama,0,31,2, also,word, given,0.16993656719682318,0.7616028104617062,0.125,0.04395000000000002,0.08999999999999997,0.006,0.0218915,0.817197,False,True,True
llama,0,34,3, variance,word, size,0.35447676632389974,0.45515715045568744,0.03999999999999995,0.04232999999999996,0.08499999999999996,0.538,0.035433,0.80848,False,False,True
llama,0,34,3, standard,word, size,0.18973774031932286,0.45515715045568744,0.02499999999999996,0.04190999999999998,0.08499999999999998,0.8,0.035433,0.80848,False,False,True
llama,0,38,3, new,word,"
",0.343397950352445,0.5661675050609026,0.06499999999999997,0.04261999999999997,0.08499999999999999,0.162,0.04811499999999998,0.808503,False,False,True
llama,0,38,3, homes,word,"
",0.07662243965678361,0.5661675050609026,0.09499999999999997,0.04431,0.08999999999999998,0.046,0.04811499999999998,0.808503,False,False,True
llama,0,45,3, population,word, sample,0.4494131695512924,0.4494131695512924,0.07000000000000002,0.04393000000000002,0.08500000000000003,0.134,0.06174699999999997,0.765502,False,False,False
llama,0,45,3, variance,word, sample,0.10027763847180617,0.4494131695512924,0.040000000000000015,0.04714000000000002,0.0904999999999996,0.546,0.06174699999999997,0.765502,False,False,False
llama,0,50,2,"

",whitespace,"
",0.05715300246352693,0.8940233852740447,0.02000000000000001,0.04476000000000001,0.08999999999999997,0.902,0.05030049999999997,0.781202,False,False,False
llama,0,54,3, are,word, want,0.153450425119673,0.7792855834156437,0.035,0.04395,0.08524999999999977,0.672,0.020470999999999993,0.795551,False,False,True
llama,0,54,3, need,word, want,0.05645125664054555,0.7792855834156437,0.025,0.04221,0.08499999999999996,0.778,0.020470999999999993,0.795551,False,False,True
llama,0,56,2, know,word, find,0.07192412770446265,0.8762152644451063,0.06,0.04441000000000001,0.08549999999999958,0.242,0.030827500000000008,0.775379,False,False,True
llama,0,60,2, (,punct/symbol, for,0.10580021713010195,0.8858543062506582,0.03500000000000002,0.04652000000000003,0.08500000000000005,0.64,0.048734000000000034,0.756266,False,False,True
llama,0,65,2,true,word,average,0.05520412786287904,0.863537953588412,0.030000000000000027,0.043670000000000014,0.08499999999999999,0.668,0.03673450000000002,0.761502,False,False,True
llama,0,66,2, building,word,),0.20174446108632746,0.7979148458004051,0.04000000000000002,0.04439000000000001,0.08499999999999998,0.472,0.031927500000000025,0.791927,False,False,True
llama,0,69,3,".

",punct/symbol,",",0.3126850224312902,0.4014955162193532,0.04000000000000001,0.04510000000000001,0.08999999999999997,0.58,0.03569600000000003,0.785757,False,False,True
llama,0,69,3,".
",punct/symbol,",",0.1673682317830649,0.4014955162193532,0.03500000000000001,0.04455000000000001,0.08499999999999998,0.626,0.03569600000000003,0.785757,False,False,True
